#      Natural abundances
#  Z  A  El   abundance  uncert.
#               [%]       [%]
#-------------------------------
   1   1 H   99.985001  0.001000
   1   2 H    0.015000  0.001000
   2   3 He   0.000137  0.000003
   2   4 He  99.999863  0.000003
   3   6 Li   7.590000  0.040000
   3   7 Li  92.410004  0.040000
   4   9 Be 100.000000  0.000000
   5  10 B   19.799999  0.300000
   5  11 B   80.199997  0.300000
   6  12 C   98.889999  0.010000
   6  13 C    1.110000  0.010000
   7  14 N   99.634003  0.020000
   7  15 N    0.366000  0.020000
   8  16 O   99.762001  0.016000
   8  17 O    0.038000  0.001000
   8  18 O    0.200000  0.014000
   9  19 F  100.000000  0.000000
  10  20 Ne  90.480003  0.030000
  10  21 Ne   0.270000  0.010000
  10  22 Ne   9.250000  0.030000
  11  23 Na 100.000000  0.000000
  12  24 Mg  78.989998  0.040000
  12  25 Mg  10.000000  0.010000
  12  26 Mg  11.010000  0.030000
  13  27 Al 100.000000  0.000000
  14  28 Si  92.230003  0.019000
  14  29 Si   4.683000  0.008000
  14  30 Si   3.087000  0.005000
  15  31 P  100.000000  0.000000
  16  32 S   95.019997  0.090000
  16  33 S    0.750000  0.010000
  16  34 S    4.210000  0.080000
  16  36 S    0.020000  0.010000
  17  35 Cl  75.769997  0.040000
  17  37 Cl  24.230000  0.040000
  18  36 Ar   0.336500  0.003000
  18  38 Ar   0.063200  0.000500
  18  40 Ar  99.600304  0.003000
  19  39 K   93.258102  0.004400
  19  40 K    0.011700  0.000100
  19  41 K    6.730200  0.004400
  20  40 Ca  96.940002  0.160000
  20  42 Ca   0.647000  0.023000
  20  43 Ca   0.135000  0.010000
  20  44 Ca   2.090000  0.110000
  20  46 Ca   0.004000  0.003000
  20  48 Ca   0.187000  0.021000
  21  45 Sc 100.000000  0.000000
  22  46 Ti   8.250000  0.030000
  22  47 Ti   7.440000  0.020000
  22  48 Ti  73.720001  0.030000
  22  49 Ti   5.410000  0.020000
  22  50 Ti   5.180000  0.020000
  23  50 V    0.250000  0.002000
  23  51 V   99.750000  0.002000
  24  50 Cr   4.345000  0.013000
  24  52 Cr  83.789001  0.018000
  24  53 Cr   9.501000  0.017000
  24  54 Cr   2.365000  0.007000
  25  55 Mn 100.000000  0.000000
  26  54 Fe   5.845000  0.035000
  26  56 Fe  91.753998  0.036000
  26  57 Fe   2.119000  0.010000
  26  58 Fe   0.282000  0.004000
  27  59 Co 100.000000  0.000000
  28  58 Ni  68.077003  0.009000
  28  60 Ni  26.223000  0.008000
  28  61 Ni   1.140000  0.001000
  28  62 Ni   3.634000  0.002000
  28  64 Ni   0.926000  0.001000
  29  63 Cu  69.169998  0.030000
  29  65 Cu  30.830000  0.030000
  30  64 Zn  48.630001  0.600000
  30  66 Zn  27.900000  0.270000
  30  67 Zn   4.100000  0.130000
  30  68 Zn  18.750000  0.510000
  30  70 Zn   0.620000  0.030000
  31  69 Ga  60.108002  0.009000
  31  71 Ga  39.891998  0.009000
  32  70 Ge  20.370001  0.180000
  32  72 Ge  27.309999  0.260000
  32  73 Ge   7.760000  0.080000
  32  74 Ge  36.730000  0.150000
  32  76 Ge   7.830000  0.070000
  33  75 As 100.000000  0.000000
  34  74 Se   0.890000  0.040000
  34  76 Se   9.370000  0.290000
  34  77 Se   7.630000  0.160000
  34  78 Se  23.770000  0.280000
  34  80 Se  49.610001  0.410000
  34  82 Se   8.730000  0.220000
  35  79 Br  50.689999  0.070000
  35  81 Br  49.310001  0.070000
  36  78 Kr   0.350000  0.010000
  36  80 Kr   2.280000  0.060000
  36  82 Kr  11.580000  0.140000
  36  83 Kr  11.490000  0.060000
  36  84 Kr  57.000000  0.040000
  36  86 Kr  17.299999  0.220000
  37  85 Rb  72.169998  0.020000
  37  87 Rb  27.830000  0.020000
  38  84 Sr   0.560000  0.010000
  38  86 Sr   9.860000  0.010000
  38  87 Sr   7.000000  0.010000
  38  88 Sr  82.580002  0.010000
  39  89 Y  100.000000  0.000000
  40  90 Zr  51.450001  0.400000
  40  91 Zr  11.220000  0.050000
  40  92 Zr  17.150000  0.080000
  40  94 Zr  17.379999  0.280000
  40  96 Zr   2.800000  0.090000
  41  93 Nb 100.000000  0.000000
  42  92 Mo  14.840000  0.350000
  42  94 Mo   9.250000  0.120000
  42  95 Mo  15.920000  0.130000
  42  96 Mo  16.680000  0.020000
  42  97 Mo   9.550000  0.080000
  42  98 Mo  24.129999  0.310000
  42 100 Mo   9.630000  0.230000
  44  96 Ru   5.540000  0.140000
  44  98 Ru   1.870000  0.030000
  44  99 Ru  12.760000  0.140000
  44 100 Ru  12.600000  0.070000
  44 101 Ru  17.059999  0.020000
  44 102 Ru  31.549999  0.140000
  44 104 Ru  18.620001  0.270000
  45 103 Rh 100.000000  0.000000
  46 102 Pd   1.020000  0.010000
  46 104 Pd  11.140000  0.080000
  46 105 Pd  22.330000  0.080000
  46 106 Pd  27.330000  0.030000
  46 108 Pd  26.459999  0.090000
  46 110 Pd  11.720000  0.090000
  47 107 Ag  51.839001  0.008000
  47 109 Ag  48.160999  0.008000
  48 106 Cd   1.250000  0.060000
  48 108 Cd   0.890000  0.030000
  48 110 Cd  12.490000  0.180000
  48 111 Cd  12.800000  0.120000
