   0   1 n  2     8.071     0.000                                                    
   1   1 H  2     7.289     0.000                                                    
   1   2 H  2    13.136     0.000                                                    
   1   3 H  2    14.950     0.000                                                    
   1   4 H  2    25.902     0.103                                                    
   1   5 H  2    32.892     0.100                                                    
   1   6 H  2    41.864     0.265                                                    
   1   7 H  1    49.135     1.005                                                    
   2   3 He 2    14.931     0.000                                                    
   2   4 He 2     2.425     0.000                                                    
   2   5 He 2    11.386     0.050                                                    
   2   6 He 2    17.595     0.001                                                    
   2   7 He 2    26.101     0.017                                                    
   2   8 He 2    31.598     0.007                                                    
   2   9 He 2    40.939     0.029                                                    
   2  10 He 2    48.809     0.070                                                    
   3   3 Li 1    28.667     2.000                                                    
   3   4 Li 2    25.323     0.212                                                    
   3   5 Li 2    11.679     0.050                                                    
   3   6 Li 2    14.087     0.000                                                    
   3   7 Li 2    14.908     0.000                                                    
   3   8 Li 2    20.947     0.000                                                    
   3   9 Li 2    24.954     0.002                                                    
   3  10 Li 2    33.051     0.015                                                    
   3  11 Li 2    40.797     0.019                                                    
   3  12 Li 1    50.096     0.997                                                    
   4   5 Be 1    37.996     3.996                                                    
   4   6 Be 2    18.375     0.005                                                    
   4   7 Be 2    15.770     0.000                                                    
   4   8 Be 2     4.942     0.000                                                    
   4   9 Be 2    11.348     0.000                                                    
   4  10 Be 2    12.607     0.000                                                    
   4  11 Be 2    20.174     0.006                                                    
   4  12 Be 2    25.077     0.015                                                    
   4  13 Be 2    33.248     0.072                                                    
   4  14 Be 2    39.954     0.132                                                    
   4  15 Be 1    49.798     0.503                                                    
   4  16 Be 1    57.678     0.503                                                    
   5   6 B  1    43.603     0.699                                                    
   5   7 B  2    27.868     0.071                                                    
   5   8 B  2    22.921     0.001                                                    
   5   9 B  2    12.416     0.001                                                    
   5  10 B  2    12.051     0.000                                                    
   5  11 B  2     8.668     0.000                                                    
   5  12 B  2    13.369     0.001                                                    
   5  13 B  2    16.562     0.001                                                    
   5  14 B  2    23.664     0.021                                                    
   5  15 B  2    28.972     0.022                                                    
   5  16 B  2    37.082     0.060                                                    
   5  17 B  2    43.771     0.171                                                    
   5  18 B  1    52.322     0.801                                                    
   5  19 B  1    59.364     0.401                                                    
   6   8 C  2    35.094     0.023                                                    
   6   9 C  2    28.910     0.002                                                    
   6  10 C  2    15.699     0.000                                                    
